Region,Elevation ,Eofbase,DOC
Sierra Nevada,2824,2624,0.179436706
Sierra Nevada,3321,3121,0.631641623
Sierra Nevada,2800,2600,0.767619798
Sierra Nevada,2800,2600,0.554775354
Sierra Nevada,2800,2600,0.75464202
Sierra Nevada,2800,2600,0.884375354
Sierra Nevada,2800,2600,0.806064242
Sierra Nevada,2800,2600,0.462565543
Sierra Nevada,2800,2600,0.595284644
Sierra Nevada,2800,2600,0.546790262
Sierra Nevada,2800,2600,0.55088015
Sierra Nevada,2800,2600,0.543644195
Sierra Nevada,3308,3108,1.907204232
Sierra Nevada,3342,3142,2.192769449
Sierra Nevada,3442,3242,2.155899884
Sierra Nevada,3442,3242,3.81224771
Sierra Nevada,2108,1908,7.639038161
Sierra Nevada,2529.84,2329.84,0.449182161
Sierra Nevada,3328,3128,0.13968107
Sierra Nevada,3181,2981,0.387644706
Sierra Nevada,2979,2779,0.161000343
Sierra Nevada,3272,3072,0.541486465
Sierra Nevada,3272,3072,0.602565543
Sierra Nevada,3388,3188,0.533659015
Sierra Nevada,1996,1796,1.83
Sierra Nevada,2298,2098,1.780492706
Sierra Nevada,3222,3022,0.297135616
Sierra Nevada,3407,3207,0.238844706
Sierra Nevada,3212,3012,0.406335616
Sierra Nevada,3124.2,2924.2,1.044673162
Sierra Nevada,2350.008,2150.008,0.774600343
Sierra Nevada,3126.0288,2926.0288,0.340923162
Sierra Nevada,3151,2951,0.413535616
Sierra Nevada,3169,2969,0.419062888
Sierra Nevada,3517,3317,1.97850858
Sierra Nevada,2175,1975,2.44535206
Sierra Nevada,2175,1975,2.375689139
Sierra Nevada,3352,3152,0.491815536
Sierra Nevada,1722,1522,2.68
Sierra Nevada,1722,1522,4.29
Sierra Nevada,3437,3237,0.536601797
Sierra Nevada,2900,2700,0.592730909
Sierra Nevada,2900,2700,0.742019798
Sierra Nevada,2900,2700,0.385753131
Sierra Nevada,2900,2700,0.943194757
Sierra Nevada,2900,2700,0.680992509
